group,experiment,sequence,qp,bitrate_kbps,psnrY_dB
perf_ablate,ABLATE_Deblock,BasketballPass_416x240_50,37,,
perf_add,ADD_ALF,BasketballPass_416x240_50,37,,
baseline,Baseline_Ref,BasketballPass_416x240_50,37,,
speed_add,ADD_FastMrg,BlowingBubbles_416x240_50,37,,
perf_ablate,ABLATE_Deblock,BasketballPass_416x240_50,27,,
speed_add,ADD_LCTUFast,BlowingBubbles_416x240_50,27,,
speed_ablate,ABLATE_FEN,BasketballPass_416x240_50,27,,
speed_add,ADD_FastMrg,BlowingBubbles_416x240_50,27,,
perf_ablate,ABLATE_ALF,BQTerrace_1920x1080_60,37,,
perf_add,ADD_RDOQ,BQTerrace_1920x1080_60,37,,
speed_add,ADD_FDM,BasketballDrill_832x480_50,37,,
perf_ablate,ABLATE_ALF,BasketballDrive_1920x1080_50,37,,
speed_add,ADD_LCTUFast,BasketballDrive_1920x1080_50,37,,
perf_ablate,ABLATE_Deblock,BasketballDrive_1920x1080_50,37,,
perf_ablate,ABLATE_RDOQ,BQTerrace_1920x1080_60,32,,
perf_ablate,ABLATE_ALF,BasketballPass_416x240_50,32,,
perf_ablate,ABLATE_Deblock,BQTerrace_1920x1080_60,32,,
speed_ablate,ABLATE_FastMrg,BlowingBubbles_416x240_50,32,,
speed_add,ADD_FDM,BQTerrace_1920x1080_60,32,,
speed_add,ADD_FastMrg,BQTerrace_1920x1080_60,32,,
speed_ablate,ABLATE_FastMrg,BlowingBubbles_416x240_50,37,,
speed_ablate,ABLATE_FDM,BQTerrace_1920x1080_60,32,,
speed_add,ADD_FastSearch,BasketballDrill_832x480_50,32,,
speed_add,ADD_LCTUFast,BasketballDrill_832x480_50,32,,
perf_add,ADD_ALF,BasketballDrill_832x480_50,32,,
speed_ablate,ABLATE_FEN,BasketballPass_416x240_50,32,,
speed_add,ADD_LCTUFast,BasketballPass_416x240_50,37,,
perf_ablate,ABLATE_ALF,BasketballPass_416x240_50,27,,
speed_add,ADD_LCTUFast,BlowingBubbles_416x240_50,37,,
speed_add,ADD_FEN,BQTerrace_1920x1080_60,32,,
perf_ablate,ABLATE_RDOQ,BQTerrace_1920x1080_60,37,,
speed_ablate,ABLATE_FDM,BasketballPass_416x240_50,27,,
speed_add,ADD_FastMrg,BasketballDrill_832x480_50,27,,
speed_add,ADD_LCTUFast,BQTerrace_1920x1080_60,37,,
speed_add,ADD_FastSearch,BasketballPass_416x240_50,37,,
speed_add,ADD_FastSearch,BasketballDrive_1920x1080_50,32,,
perf_ablate,ABLATE_RDOQ,BlowingBubbles_416x240_50,37,,
speed_add,ADD_FDM,BQTerrace_1920x1080_60,37,,
perf_add,ADD_RDOQ,BasketballPass_416x240_50,32,,
speed_add,ADD_FDM,BQTerrace_1920x1080_60,27,,
perf_add,ADD_SAO,BQTerrace_1920x1080_60,27,,
speed_add,ADD_LCTUFast,BasketballDrill_832x480_50,37,,
perf_add,ADD_SAO,BasketballPass_416x240_50,27,,
speed_ablate,ABLATE_FastMrg,BasketballPass_416x240_50,37,,
speed_add,ADD_FastSearch,BQTerrace_1920x1080_60,32,,
baseline,Baseline_Ref,BasketballDrill_832x480_50,27,,
perf_ablate,ABLATE_RDOQ,BlowingBubbles_416x240_50,32,,
perf_ablate,ABLATE_SAO,BasketballDrive_1920x1080_50,37,,
perf_ablate,ABLATE_ALF,BasketballDrill_832x480_50,27,,
speed_ablate,ABLATE_FastMrg,BasketballDrill_832x480_50,32,,
speed_ablate,ABLATE_FDM,BlowingBubbles_416x240_50,27,,
perf_add,ADD_SAO,BlowingBubbles_416x240_50,37,,
perf_ablate,ABLATE_SAO,BasketballDrive_1920x1080_50,32,,
baseline,Baseline_Ref,BasketballDrive_1920x1080_50,32,,
speed_add,ADD_FEN,BasketballDrill_832x480_50,37,,
speed_add,ADD_FDM,BlowingBubbles_416x240_50,27,,
speed_add,ADD_FastSearch,BasketballDrive_1920x1080_50,27,,
perf_add,ADD_ALF,BasketballDrive_1920x1080_50,27,,
speed_add,ADD_FEN,BasketballDrive_1920x1080_50,37,,
perf_ablate,ABLATE_SAO,BasketballPass_416x240_50,37,,
speed_ablate,ABLATE_FastMrg,BQTerrace_1920x1080_60,27,,
speed_add,ADD_FEN,BasketballDrive_1920x1080_50,32,,
perf_ablate,ABLATE_Deblock,BasketballDrill_832x480_50,32,,
speed_add,ADD_FDM,BasketballPass_416x240_50,32,,
speed_add,ADD_LCTUFast,BasketballDrive_1920x1080_50,27,,
speed_ablate,ABLATE_FDM,BlowingBubbles_416x240_50,32,,
speed_ablate,ABLATE_LCTUFast,BlowingBubbles_416x240_50,27,,
speed_add,ADD_LCTUFast,BQTerrace_1920x1080_60,32,,
perf_add,ADD_ALF,BasketballDrive_1920x1080_50,32,,
perf_ablate,ABLATE_Deblock,BasketballPass_416x240_50,32,,
perf_add,ADD_Deblock,BasketballPass_416x240_50,27,,
perf_ablate,ABLATE_Deblock,BlowingBubbles_416x240_50,32,,
baseline,Baseline_Ref,BasketballPass_416x240_50,32,,
baseline,Baseline_Ref,BlowingBubbles_416x240_50,32,,
perf_add,ADD_RDOQ,BasketballPass_416x240_50,37,,
baseline,Baseline_Ref,BasketballDrive_1920x1080_50,37,,
speed_add,ADD_FastMrg,BasketballDrive_1920x1080_50,32,,
perf_ablate,ABLATE_ALF,BasketballDrive_1920x1080_50,32,,
perf_ablate,ABLATE_Deblock,BasketballDrill_832x480_50,27,,
speed_add,ADD_FastMrg,BasketballDrive_1920x1080_50,37,,
speed_add,ADD_FastMrg,BasketballDrill_832x480_50,37,,
speed_ablate,ABLATE_FEN,BasketballDrive_1920x1080_50,37,,
speed_ablate,ABLATE_FDM,BasketballDrive_1920x1080_50,37,,
speed_add,ADD_FEN,BasketballPass_416x240_50,32,,
speed_add,ADD_LCTUFast,BasketballPass_416x240_50,32,,
baseline,Baseline_Ref,BlowingBubbles_416x240_50,27,,
perf_ablate,ABLATE_RDOQ,BasketballDrill_832x480_50,32,,
speed_ablate,ABLATE_FastMrg,BasketballDrive_1920x1080_50,37,,
speed_ablate,ABLATE_FEN,BQTerrace_1920x1080_60,37,,
perf_add,ADD_RDOQ,BasketballDrill_832x480_50,37,,
baseline,Baseline_Ref,BQTerrace_1920x1080_60,32,,
speed_ablate,ABLATE_FEN,BasketballDrill_832x480_50,27,,
speed_ablate,ABLATE_FEN,BQTerrace_1920x1080_60,32,,
speed_ablate,ABLATE_FastMrg,BasketballDrill_832x480_50,27,,
speed_add,ADD_FEN,BasketballDrill_832x480_50,32,,
speed_ablate,ABLATE_LCTUFast,BasketballDrive_1920x1080_50,37,,
speed_add,ADD_FDM,BasketballDrill_832x480_50,32,,
speed_ablate,ABLATE_FastSearch,BlowingBubbles_416x240_50,32,,
baseline,Baseline_Min,BasketballPass_416x240_50,32,,
