toolA_group,toolA,toolB_group,toolB,n_seq,corr
perf_add,ADD_SAO,perf_add,ADD_RDOQ,5,1.0
perf_add,ADD_SAO,perf_add,ADD_Deblock,5,1.0
perf_add,ADD_SAO,perf_add,ADD_ALF,5,1.0
perf_add,ADD_RDOQ,perf_add,ADD_Deblock,5,1.0
perf_add,ADD_RDOQ,perf_add,ADD_ALF,5,1.0
perf_add,ADD_Deblock,perf_add,ADD_ALF,5,1.0
perf_add,ADD_SAO,perf_ablate,ABLATE_RDOQ,5,0.8306245969566043
perf_add,ADD_RDOQ,perf_ablate,ABLATE_RDOQ,5,0.8306245969566043
perf_add,ADD_Deblock,perf_ablate,ABLATE_RDOQ,5,0.8306245969566043
perf_add,ADD_ALF,perf_ablate,ABLATE_RDOQ,5,0.8306245969566043
perf_ablate,ABLATE_SAO,perf_ablate,ABLATE_Deblock,5,-0.8084866692819112
perf_add,ADD_SAO,perf_ablate,ABLATE_Deblock,5,0.7948103409810775
perf_add,ADD_RDOQ,perf_ablate,ABLATE_Deblock,5,0.7948103409810775
perf_add,ADD_Deblock,perf_ablate,ABLATE_Deblock,5,0.7948103409810775
perf_add,ADD_ALF,perf_ablate,ABLATE_Deblock,5,0.7948103409810775
perf_ablate,ABLATE_RDOQ,perf_ablate,ABLATE_Deblock,5,0.6952535800716018
perf_add,ADD_SAO,perf_ablate,ABLATE_SAO,5,-0.38401073333359853
perf_add,ADD_RDOQ,perf_ablate,ABLATE_SAO,5,-0.38401073333359853
perf_add,ADD_Deblock,perf_ablate,ABLATE_SAO,5,-0.38401073333359853
perf_add,ADD_ALF,perf_ablate,ABLATE_SAO,5,-0.38401073333359853
perf_add,ADD_SAO,perf_ablate,ABLATE_ALF,5,0.37328600897121134
perf_add,ADD_RDOQ,perf_ablate,ABLATE_ALF,5,0.37328600897121134
perf_add,ADD_Deblock,perf_ablate,ABLATE_ALF,5,0.37328600897121134
perf_add,ADD_ALF,perf_ablate,ABLATE_ALF,5,0.37328600897121134
perf_ablate,ABLATE_SAO,perf_ablate,ABLATE_ALF,5,0.3470295309042781
perf_ablate,ABLATE_Deblock,perf_ablate,ABLATE_ALF,5,-0.19005156867884068
perf_ablate,ABLATE_SAO,perf_ablate,ABLATE_RDOQ,5,-0.14350467099055778
perf_ablate,ABLATE_RDOQ,perf_ablate,ABLATE_ALF,5,0.0379591375277385
