group,experiment,class,mean,n
perf_add,ADD_SAO,B,19.80290438231989,2
perf_add,ADD_SAO,D,6.003938858702079,2
perf_add,ADD_SAO,C,6.274279078004541,1
perf_add,ADD_RDOQ,B,19.80290438231989,2
perf_add,ADD_RDOQ,D,6.003938858702079,2
perf_add,ADD_RDOQ,C,6.274279078004541,1
perf_add,ADD_Deblock,B,19.80290438231989,2
perf_add,ADD_Deblock,D,6.003938858702079,2
perf_add,ADD_Deblock,C,6.274279078004541,1
perf_add,ADD_ALF,B,19.80290438231989,2
perf_add,ADD_ALF,D,6.003938858702079,2
perf_add,ADD_ALF,C,6.274279078004541,1
perf_ablate,ABLATE_SAO,B,0.08827321061021243,2
perf_ablate,ABLATE_SAO,D,0.06267242778591475,2
perf_ablate,ABLATE_SAO,C,-0.0808337228895728,1
perf_ablate,ABLATE_RDOQ,B,5.845371631357943,2
perf_ablate,ABLATE_RDOQ,D,4.521358165375144,2
perf_ablate,ABLATE_RDOQ,C,2.4241499364881847,1
perf_ablate,ABLATE_Deblock,B,1.7794616316157752,2
perf_ablate,ABLATE_Deblock,D,1.2689412785265919,2
perf_ablate,ABLATE_Deblock,C,1.0592254692154857,1
perf_ablate,ABLATE_ALF,B,3.6162196797879465,2
perf_ablate,ABLATE_ALF,D,0.696821170900841,2
perf_ablate,ABLATE_ALF,C,2.9257570939151156,1
