group,experiment,mean_bd_rate,n_sequences_used
speed_add,ADD_LCTUFast,-11.577593112009698,5
speed_add,ADD_FEN,-11.577593112009698,5
speed_add,ADD_FDM,-11.577593112009698,5
speed_add,ADD_FastSearch,-11.577593112009698,5
speed_add,ADD_FastMrg,-11.577593112009698,5
speed_ablate,ABLATE_LCTUFast,0.0836159454082619,5
speed_ablate,ABLATE_FEN,-0.009901323458172406,5
speed_ablate,ABLATE_FDM,0.03806459145640373,5
speed_ablate,ABLATE_FastSearch,0.32014385416765156,5
speed_ablate,ABLATE_FastMrg,0.0,5
perf_add,ADD_SAO,-11.577593112009698,5
perf_add,ADD_RDOQ,-11.577593112009698,5
perf_add,ADD_Deblock,-11.577593112009698,5
perf_add,ADD_ALF,-11.577593112009698,5
perf_ablate,ABLATE_SAO,0.04421151078053631,5
perf_ablate,ABLATE_RDOQ,4.631521905990872,5
perf_ablate,ABLATE_Deblock,1.431206257900044,5
perf_ablate,ABLATE_ALF,2.310367759058538,5
