group,experiment,sequence,anchor,fallback_anchor,bd_rate_psnrY_percent,qps_used,approx,status
speed_add,ADD_LCTUFast,BQTerrace_1920x1080_60,Baseline_Min,,-12.418127294172098,"27,32,37",,OK
speed_add,ADD_LCTUFast,BlowingBubbles_416x240_50,Baseline_Min,,-5.696329736355798,"27,32,37",,OK
speed_add,ADD_LCTUFast,BasketballPass_416x240_50,Baseline_Min,,-6.31154798104836,"27,32,37",,OK
speed_add,ADD_LCTUFast,BasketballDrive_1920x1080_50,Baseline_Min,,-27.187681470467684,"27,32,37",,OK
speed_add,ADD_LCTUFast,BasketballDrill_832x480_50,Baseline_Min,,-6.274279078004541,"27,32,37",,OK
speed_add,ADD_FEN,BQTerrace_1920x1080_60,Baseline_Min,,-12.418127294172098,"27,32,37",,OK
speed_add,ADD_FEN,BlowingBubbles_416x240_50,Baseline_Min,,-5.696329736355798,"27,32,37",,OK
speed_add,ADD_FEN,BasketballPass_416x240_50,Baseline_Min,,-6.31154798104836,"27,32,37",,OK
speed_add,ADD_FEN,BasketballDrive_1920x1080_50,Baseline_Min,,-27.187681470467684,"27,32,37",,OK
speed_add,ADD_FEN,BasketballDrill_832x480_50,Baseline_Min,,-6.274279078004541,"27,32,37",,OK
speed_add,ADD_FDM,BQTerrace_1920x1080_60,Baseline_Min,,-12.418127294172098,"27,32,37",,OK
speed_add,ADD_FDM,BlowingBubbles_416x240_50,Baseline_Min,,-5.696329736355798,"27,32,37",,OK
speed_add,ADD_FDM,BasketballPass_416x240_50,Baseline_Min,,-6.31154798104836,"27,32,37",,OK
speed_add,ADD_FDM,BasketballDrive_1920x1080_50,Baseline_Min,,-27.187681470467684,"27,32,37",,OK
speed_add,ADD_FDM,BasketballDrill_832x480_50,Baseline_Min,,-6.274279078004541,"27,32,37",,OK
speed_add,ADD_FastSearch,BQTerrace_1920x1080_60,Baseline_Min,,-12.418127294172098,"27,32,37",,OK
speed_add,ADD_FastSearch,BlowingBubbles_416x240_50,Baseline_Min,,-5.696329736355798,"27,32,37",,OK
speed_add,ADD_FastSearch,BasketballPass_416x240_50,Baseline_Min,,-6.31154798104836,"27,32,37",,OK
speed_add,ADD_FastSearch,BasketballDrive_1920x1080_50,Baseline_Min,,-27.187681470467684,"27,32,37",,OK
speed_add,ADD_FastSearch,BasketballDrill_832x480_50,Baseline_Min,,-6.274279078004541,"27,32,37",,OK
speed_add,ADD_FastMrg,BQTerrace_1920x1080_60,Baseline_Min,,-12.418127294172098,"27,32,37",,OK
speed_add,ADD_FastMrg,BlowingBubbles_416x240_50,Baseline_Min,,-5.696329736355798,"27,32,37",,OK
speed_add,ADD_FastMrg,BasketballPass_416x240_50,Baseline_Min,,-6.31154798104836,"27,32,37",,OK
speed_add,ADD_FastMrg,BasketballDrive_1920x1080_50,Baseline_Min,,-27.187681470467684,"27,32,37",,OK
speed_add,ADD_FastMrg,BasketballDrill_832x480_50,Baseline_Min,,-6.274279078004541,"27,32,37",,OK
speed_ablate,ABLATE_LCTUFast,BQTerrace_1920x1080_60,Baseline_Ref,,0.10492461632825023,"27,32,37",,OK
speed_ablate,ABLATE_LCTUFast,BlowingBubbles_416x240_50,Baseline_Ref,,-0.004396919572480229,"27,32,37",,OK
speed_ablate,ABLATE_LCTUFast,BasketballPass_416x240_50,Baseline_Ref,,-0.1904222690898294,"27,32,37",,OK
speed_ablate,ABLATE_LCTUFast,BasketballDrive_1920x1080_50,Baseline_Ref,,0.486819864854926,"27,32,37",,OK
speed_ablate,ABLATE_LCTUFast,BasketballDrill_832x480_50,Baseline_Ref,,0.021154434520442855,"27,32,37",,OK
speed_ablate,ABLATE_FEN,BQTerrace_1920x1080_60,Baseline_Ref,,0.03273327100696832,"27,32,37",,OK
speed_ablate,ABLATE_FEN,BlowingBubbles_416x240_50,Baseline_Ref,,0.06683055518332814,"27,32,37",,OK
speed_ablate,ABLATE_FEN,BasketballPass_416x240_50,Baseline_Ref,,0.2768633629855355,"27,32,37",,OK
