
VVCSoftware: VTM Encoder Version 23.11 [Windows][VS 1944][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:1 HAD:1 RDQ:1 RDQTS:1 LQP:0 SQP:0 ASR:0 MinSearchWindow:96 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPS 8 AlfapsIDShift 0 ConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:1 SbTMVP:1 DualITree:1 IMV:1 BIO:1 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:1 CompositeLTReference:0 Bcw:1 BcwFast:1 LADF:0 CIIP:1 Geo:1 AllowDisFracMMVD:1 AffineAmvr:1 AffineAmvrEncOpt:1 AffineAmvp:1 DMVR:1 MmvdDisNum:6 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:6) MRL:1 MIP:1 EncDbOpt:1 AlfLambdaOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 MaxMergeRdCandNumTotal:7 MergeRdCandQuotaRegular:4 MergeRdCandQuotaRegularSmallBlk:4 MergeRdCandQuotaSubBlk:2 MergeRdCandQuotaCiip:1 MergeRdCandQuotaGpm:8 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:0 FastLFNST:0 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:0 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:1 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 SEI FGC:0 SEI processing Order:0 DPF:0 


 started @ Mon Aug 18 23:34:14 2025
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 29 )     298160 bits [Y 36.5968 dB    U 36.7442 dB    V 37.2240 dB] [ET   103 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( TRAIL, B-SLICE, QP 31 )     178288 bits [Y 35.7452 dB    U 36.1454 dB    V 36.4411 dB] [ET  4086 ] [L0 0] [L1 0c]
POC   16 LId:  0 TId: 1 ( STSA, B-SLICE, QP 34 )     106728 bits [Y 34.7142 dB    U 34.8161 dB    V 35.3152 dB] [ET  6152 ] [L0 0 32] [L1 32c]
POC    8 LId:  0 TId: 2 ( TRAIL, B-SLICE, QP 35 )      97240 bits [Y 34.3105 dB    U 34.3443 dB    V 34.8298 dB] [ET  8937 ] [L0 0 16 32] [L1 16c 32]
POC    4 LId:  0 TId: 3 ( TRAIL, B-SLICE, QP 38 )      69192 bits [Y 33.7486 dB    U 34.2193 dB    V 34.5956 dB] [ET  9647 ] [L0 0 8 16] [L1 8c 16 32]
POC    2 LId:  0 TId: 4 ( TRAIL, B-SLICE, QP 40 )      41432 bits [Y 33.3778 dB    U 34.2451 dB    V 34.8339 dB] [ET  9708 ] [L0 0 4 8] [L1 4c 8 16 32]
POC    1 LId:  0 TId: 5 ( TRAIL, B-SLICE, QP 41 )      29824 bits [Y 33.1294 dB    U 33.9589 dB    V 34.5317 dB] [ET  4085 ] [L0 0] [L1 2c 4]
POC    3 LId:  0 TId: 5 ( TRAIL, B-SLICE, QP 41 )      33552 bits [Y 32.7196 dB    U 33.6241 dB    V 33.9828 dB] [ET  6070 ] [L0 2c 0] [L1 4 8]
POC    6 LId:  0 TId: 4 ( TRAIL, B-SLICE, QP 40 )      55032 bits [Y 32.2921 dB    U 33.4073 dB    V 33.8304 dB] [ET 12756 ] [L0 4c 2 0] [L1 8 16 32]
POC    5 LId:  0 TId: 5 ( TRAIL, B-SLICE, QP 41 )      39664 bits [Y 32.1144 dB    U 33.1026 dB    V 33.2933 dB] [ET  6973 ] [L0 4 0] [L1 6c 8]
POC    7 LId:  0 TId: 5 ( TRAIL, B-SLICE, QP 41 )      42376 bits [Y 31.9802 dB    U 33.0577 dB    V 33.4176 dB] [ET  7806 ] [L0 6c 4] [L1 8 16]
POC   12 LId:  0 TId: 3 ( TRAIL, B-SLICE, QP 38 )      69856 bits [Y 33.5329 dB    U 33.9989 dB    V 34.6363 dB] [ET 11256 ] [L0 8c 4 0] [L1 16 32]
POC   10 LId:  0 TId: 4 ( TRAIL, B-SLICE, QP 40 )      48304 bits [Y 32.8337 dB    U 33.5528 dB    V 34.3049 dB] [ET 13372 ] [L0 8 6 4 0] [L1 12c 16 32]
POC    9 LId:  0 TId: 5 ( TRAIL, B-SLICE, QP 41 )      38712 bits [Y 32.3669 dB    U 33.3796 dB    V 33.6361 dB] [ET  7499 ] [L0 8 4] [L1 10c 12]
POC   11 LId:  0 TId: 5 ( TRAIL, B-SLICE, QP 41 )      40696 bits [Y 32.3333 dB    U 33.3866 dB    V 33.7300 dB] [ET  7494 ] [L0 10c 8] [L1 12 16]
