
VVCSoftware: VTM Encoder Version 23.11 [Windows][VS 1944][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:1 HAD:1 RDQ:1 RDQTS:1 LQP:0 SQP:0 ASR:0 MinSearchWindow:96 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPS 8 AlfapsIDShift 0 ConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:1 SbTMVP:1 DualITree:1 IMV:1 BIO:1 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:1 CompositeLTReference:0 Bcw:1 BcwFast:1 LADF:0 CIIP:1 Geo:1 AllowDisFracMMVD:1 AffineAmvr:1 AffineAmvrEncOpt:1 AffineAmvp:1 DMVR:1 MmvdDisNum:6 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:6) MRL:1 MIP:1 EncDbOpt:1 AlfLambdaOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 MaxMergeRdCandNumTotal:7 MergeRdCandQuotaRegular:4 MergeRdCandQuotaRegularSmallBlk:4 MergeRdCandQuotaSubBlk:2 MergeRdCandQuotaCiip:1 MergeRdCandQuotaGpm:8 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:0 FastLFNST:0 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:0 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:1 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 SEI FGC:0 SEI processing Order:0 DPF:0 


 started @ Mon Aug 18 22:48:23 2025
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 34 )     164576 bits [Y 33.4367 dB    U 33.3287 dB    V 34.3082 dB] [ET    69 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( TRAIL, B-SLICE, QP 36 )     102992 bits [Y 32.6247 dB    U 33.1030 dB    V 33.8872 dB] [ET  2964 ] [L0 0] [L1 0c]
POC   16 LId:  0 TId: 1 ( STSA, B-SLICE, QP 40 )      56416 bits [Y 31.3834 dB    U 32.3809 dB    V 33.3091 dB] [ET  3562 ] [L0 0 32] [L1 32c]
POC    8 LId:  0 TId: 2 ( TRAIL, B-SLICE, QP 41 )      49656 bits [Y 30.8447 dB    U 32.1276 dB    V 32.7923 dB] [ET  4837 ] [L0 0 16 32] [L1 16c 32]
POC    4 LId:  0 TId: 3 ( TRAIL, B-SLICE, QP 43 )      37904 bits [Y 30.5413 dB    U 31.8214 dB    V 32.5991 dB] [ET  6017 ] [L0 0 8 16] [L1 8c 16 32]
POC    2 LId:  0 TId: 4 ( TRAIL, B-SLICE, QP 45 )      20328 bits [Y 30.4469 dB    U 31.5967 dB    V 32.5744 dB] [ET  6587 ] [L0 0 4 8] [L1 4c 8 16 32]
POC    1 LId:  0 TId: 5 ( TRAIL, B-SLICE, QP 46 )      15176 bits [Y 30.4550 dB    U 31.3491 dB    V 32.2666 dB] [ET  2713 ] [L0 0] [L1 2c 4]
POC    3 LId:  0 TId: 5 ( TRAIL, B-SLICE, QP 46 )      16440 bits [Y 29.8902 dB    U 31.1476 dB    V 31.5779 dB] [ET  4059 ] [L0 2c 0] [L1 4 8]
POC    6 LId:  0 TId: 4 ( TRAIL, B-SLICE, QP 45 )      27936 bits [Y 29.4172 dB    U 30.9950 dB    V 31.6273 dB] [ET  9509 ] [L0 4c 2 0] [L1 8 16 32]
POC    5 LId:  0 TId: 5 ( TRAIL, B-SLICE, QP 46 )      18608 bits [Y 29.2701 dB    U 30.6412 dB    V 31.0132 dB] [ET  4389 ] [L0 4 0] [L1 6c 8]
POC    7 LId:  0 TId: 5 ( TRAIL, B-SLICE, QP 46 )      20976 bits [Y 29.2008 dB    U 30.7127 dB    V 31.2017 dB] [ET  4946 ] [L0 6c 4] [L1 8 16]
POC   12 LId:  0 TId: 3 ( TRAIL, B-SLICE, QP 43 )      37776 bits [Y 30.4355 dB    U 31.7042 dB    V 32.6664 dB] [ET  8686 ] [L0 8c 4 0] [L1 16 32]
POC   10 LId:  0 TId: 4 ( TRAIL, B-SLICE, QP 45 )      24704 bits [Y 29.9546 dB    U 31.1913 dB    V 32.0997 dB] [ET  9540 ] [L0 8 6 4 0] [L1 12c 16 32]
POC    9 LId:  0 TId: 5 ( TRAIL, B-SLICE, QP 46 )      18728 bits [Y 29.5188 dB    U 31.0602 dB    V 31.2869 dB] [ET  4516 ] [L0 8 4] [L1 10c 12]
POC   11 LId:  0 TId: 5 ( TRAIL, B-SLICE, QP 46 )      18624 bits [Y 29.4044 dB    U 30.6991 dB    V 31.3217 dB] [ET  4789 ] [L0 10c 8] [L1 12 16]
POC   14 LId:  0 TId: 4 ( TRAIL, B-SLICE, QP 45 )      29384 bits [Y 29.3540 dB    U 31.0879 dB    V 31.5955 dB] [ET  9712 ] [L0 12c 10 8 0] [L1 16 32]
