
VVCSoftware: VTM Encoder Version 23.11 [Windows][VS 1944][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:1 HAD:1 RDQ:1 RDQTS:1 LQP:0 SQP:0 ASR:0 MinSearchWindow:96 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPS 8 AlfapsIDShift 0 ConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:1 SbTMVP:1 DualITree:1 IMV:1 BIO:1 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:1 CompositeLTReference:0 Bcw:1 BcwFast:1 LADF:0 CIIP:1 Geo:1 AllowDisFracMMVD:1 AffineAmvr:1 AffineAmvrEncOpt:1 AffineAmvp:1 DMVR:1 MmvdDisNum:6 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:6) MRL:1 MIP:1 EncDbOpt:1 AlfLambdaOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 MaxMergeRdCandNumTotal:7 MergeRdCandQuotaRegular:4 MergeRdCandQuotaRegularSmallBlk:4 MergeRdCandQuotaSubBlk:2 MergeRdCandQuotaCiip:1 MergeRdCandQuotaGpm:8 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:0 FastLFNST:0 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:0 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:1 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 SEI FGC:0 SEI processing Order:0 DPF:0 


 started @ Tue Aug 19 01:22:51 2025
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 34 )     138984 bits [Y 37.5412 dB    U 42.1852 dB    V 42.4154 dB] [ET    69 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( TRAIL, B-SLICE, QP 36 )     114832 bits [Y 37.1035 dB    U 41.8080 dB    V 41.9660 dB] [ET  9176 ] [L0 0] [L1 0c]
POC   16 LId:  0 TId: 1 ( STSA, B-SLICE, QP 40 )      44744 bits [Y 36.6473 dB    U 42.0246 dB    V 42.0299 dB] [ET  8601 ] [L0 0 32] [L1 32c]
POC    8 LId:  0 TId: 2 ( TRAIL, B-SLICE, QP 41 )      33696 bits [Y 36.3663 dB    U 41.9026 dB    V 41.7141 dB] [ET 10505 ] [L0 0 16 32] [L1 16c 32]
POC    4 LId:  0 TId: 3 ( TRAIL, B-SLICE, QP 43 )      22120 bits [Y 36.2419 dB    U 41.7865 dB    V 41.6514 dB] [ET 11525 ] [L0 0 8 16] [L1 8c 16 32]
POC    2 LId:  0 TId: 4 ( TRAIL, B-SLICE, QP 45 )      13168 bits [Y 36.1326 dB    U 41.7814 dB    V 41.4291 dB] [ET  9844 ] [L0 0 4 8] [L1 4c 8 16 32]
POC    1 LId:  0 TId: 5 ( TRAIL, B-SLICE, QP 46 )       6752 bits [Y 36.2195 dB    U 41.9148 dB    V 41.5422 dB] [ET  3062 ] [L0 0] [L1 2c 4]
POC    3 LId:  0 TId: 5 ( TRAIL, B-SLICE, QP 46 )       7352 bits [Y 35.8738 dB    U 41.6927 dB    V 41.1504 dB] [ET  5731 ] [L0 2c 0] [L1 4 8]
POC    6 LId:  0 TId: 4 ( TRAIL, B-SLICE, QP 45 )      13864 bits [Y 35.6484 dB    U 41.5922 dB    V 41.0994 dB] [ET 13388 ] [L0 4c 2 0] [L1 8 16 32]
POC    5 LId:  0 TId: 5 ( TRAIL, B-SLICE, QP 46 )       7024 bits [Y 35.5800 dB    U 41.6514 dB    V 40.9818 dB] [ET  5552 ] [L0 4 0] [L1 6c 8]
POC    7 LId:  0 TId: 5 ( TRAIL, B-SLICE, QP 46 )       6728 bits [Y 35.5545 dB    U 41.7358 dB    V 41.0647 dB] [ET  5562 ] [L0 6c 4] [L1 8 16]
POC   12 LId:  0 TId: 3 ( TRAIL, B-SLICE, QP 43 )      19504 bits [Y 36.2121 dB    U 41.9028 dB    V 41.7685 dB] [ET 15081 ] [L0 8c 4 0] [L1 16 32]
POC   10 LId:  0 TId: 4 ( TRAIL, B-SLICE, QP 45 )      11352 bits [Y 35.7681 dB    U 41.7333 dB    V 41.2654 dB] [ET 13989 ] [L0 8 6 4 0] [L1 12c 16 32]
