group,tool,seq,qp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv,enc_time_s,retcode
Perf_Ablate,ABLATE_ALF,BasketballPass_416x240_50,37,100.0485,32.9892,39.0372,38.0413,34.138,97.327,0
Perf_Ablate,ABLATE_RDOQ,BasketballPass_416x240_50,37,105.1394,33.1547,39.0324,38.2814,34.2965,103.591,0
Baseline,Baseline_Ref,BasketballPass_416x240_50,37,100.6424,33.0984,39.1145,38.1235,34.2444,119.721,0
Perf_Ablate,ABLATE_Deblock,BasketballPass_416x240_50,37,102.1939,33.0365,38.9923,38.0721,34.1786,120.073,0
Perf_Ablate,ABLATE_SAO,BasketballPass_416x240_50,37,101.6364,33.0619,39.0689,38.1778,34.2114,124.59,0
Perf_Ablate,ABLATE_ALF,BasketballPass_416x240_50,32,186.8727,35.8642,41.3144,40.1485,36.9084,152.43,0
Perf_Ablate,ABLATE_RDOQ,BasketballPass_416x240_50,32,195.9758,35.9222,41.2542,40.1337,36.9542,154.057,0
Perf_Ablate,ABLATE_Deblock,BasketballPass_416x240_50,32,187.5152,35.8517,41.1774,40.1743,36.8888,170.849,0
Baseline,Baseline_Ref,BasketballPass_416x240_50,32,188.7515,35.9527,41.3604,40.2628,36.9947,175.567,0
Perf_Ablate,ABLATE_SAO,BasketballPass_416x240_50,32,187.7697,35.9375,41.3374,40.2296,36.9779,180.223,0
Perf_Ablate,ABLATE_RDOQ,BasketballPass_416x240_50,27,364.7394,39.0148,43.5335,42.5198,39.9274,209.559,0
Perf_Ablate,ABLATE_ALF,BasketballPass_416x240_50,27,355.4424,39.1294,43.4249,42.5503,40.0163,227.187,0
Baseline,Baseline_Ref,BasketballPass_416x240_50,27,356.3879,39.1644,43.5279,42.6886,40.0649,250.854,0
Perf_Ablate,ABLATE_SAO,BasketballPass_416x240_50,27,356.3879,39.175,43.4601,42.7869,40.0771,251.08,0
Perf_Ablate,ABLATE_Deblock,BasketballPass_416x240_50,27,358.0848,39.1296,43.6388,42.7235,40.0457,252.954,0
Baseline,Baseline_Ref,BlowingBubbles_416x240_50,37,174.6182,30.1945,35.2863,37.3342,31.3783,230.031,0
Baseline,Baseline_Ref,BasketballPass_416x240_50,22,687.5152,42.7945,46.2243,45.6334,43.555,370.245,0
Perf_Ablate,ABLATE_ALF,BlowingBubbles_416x240_50,37,173.503,30.1589,35.2043,37.1707,31.3358,207.293,0
Perf_Ablate,ABLATE_SAO,BlowingBubbles_416x240_50,37,175.297,30.2176,35.3126,37.2332,31.3944,225.725,0
Perf_Ablate,ABLATE_Deblock,BlowingBubbles_416x240_50,37,176.0364,30.1498,35.3151,37.1195,31.3295,225.554,0
Perf_Ablate,ABLATE_RDOQ,BlowingBubbles_416x240_50,37,182.8727,30.2623,35.3543,37.2809,31.4398,206.163,0
Perf_Ablate,ABLATE_RDOQ,BasketballPass_416x240_50,22,701.0545,42.479,46.0439,45.5065,43.2736,309.733,0
Perf_Ablate,ABLATE_ALF,BasketballPass_416x240_50,22,686.7152,42.7484,46.1084,45.4308,43.4862,336.656,0
Perf_Ablate,ABLATE_Deblock,BasketballPass_416x240_50,22,688.6182,42.7774,46.2641,45.7111,43.553,369.092,0
Perf_Ablate,ABLATE_SAO,BasketballPass_416x240_50,22,686.703,42.7715,46.1919,45.6585,43.5365,376.374,0
Baseline,Baseline_Ref,BlowingBubbles_416x240_50,32,351.1515,32.7758,37.1487,39.2194,33.8499,355.175,0
Perf_Ablate,ABLATE_RDOQ,BlowingBubbles_416x240_50,32,360.1212,32.6899,37.1996,39.1272,33.7698,306.963,0
Perf_Ablate,ABLATE_SAO,BlowingBubbles_416x240_50,32,352.6424,32.773,37.1754,39.2777,33.8535,356.536,0
Perf_Ablate,ABLATE_ALF,BlowingBubbles_416x240_50,32,348.8121,32.664,37.1165,39.226,33.7508,324.124,0
Perf_Ablate,ABLATE_Deblock,BlowingBubbles_416x240_50,32,351.6121,32.72,37.11,39.0301,33.7901,353.235,0
Baseline,Baseline_Ref,BlowingBubbles_416x240_50,27,710.4121,35.5857,39.3326,41.3549,36.5616,549.98,0
Perf_Ablate,ABLATE_RDOQ,BlowingBubbles_416x240_50,27,721.2606,35.3938,39.2059,41.2539,36.3773,427.284,0
Perf_Ablate,ABLATE_ALF,BlowingBubbles_416x240_50,27,705.2727,35.4419,39.1658,41.2769,36.4175,461.905,0
Perf_Ablate,ABLATE_SAO,BlowingBubbles_416x240_50,27,710.4606,35.5691,39.3359,41.3443,36.5442,516.106,0
Perf_Ablate,ABLATE_Deblock,BlowingBubbles_416x240_50,27,711.9758,35.5488,39.32,41.3505,36.5239,523.441,0
Perf_Ablate,ABLATE_RDOQ,BlowingBubbles_416x240_50,22,1506.8121,38.3452,41.621,43.7635,39.2594,566.508,0
Perf_Ablate,ABLATE_SAO,BlowingBubbles_416x240_50,22,1504.3758,38.6991,41.8527,43.9468,39.592,738.684,0
Baseline,Baseline_Ref,BlowingBubbles_416x240_50,22,1503.8303,38.6884,41.8547,43.9854,39.5856,741.678,0
Perf_Ablate,ABLATE_ALF,BlowingBubbles_416x240_50,22,1505.5273,38.5533,41.6116,43.8129,39.4344,674.067,0
Perf_Ablate,ABLATE_Deblock,BlowingBubbles_416x240_50,22,1503.4061,38.6798,41.8661,43.9173,39.5722,717.251,0
Perf_Ablate,ABLATE_RDOQ,BasketballDrill_832x480_50,37,1570.497,30.059,31.0975,31.5878,30.3584,1777.776,0
Baseline,Baseline_Ref,BasketballDrill_832x480_50,37,1575.0182,30.0903,31.3622,31.9156,30.4617,2000.344,0
Perf_Ablate,ABLATE_Deblock,BasketballDrill_832x480_50,37,1568.097,30.0051,31.3153,31.8458,30.3815,1965.212,0
Perf_Ablate,ABLATE_SAO,BasketballDrill_832x480_50,37,1571.8667,30.0786,31.3666,31.9082,30.4515,2006.384,0
Perf_Ablate,ABLATE_ALF,BasketballDrill_832x480_50,37,1565.0545,29.91,31.1286,31.5739,30.2571,1979.317,0
Perf_Ablate,ABLATE_RDOQ,BasketballDrill_832x480_50,32,3020.2667,32.9172,33.3875,33.7021,33.0081,2137.556,0
